entertainment,city,postcode,housenumber,street,state,address1,address2
New Dramatists Theater,New York,10036,424,West 44th Street,New York,New Dramatists Theater,"424 West 44th Street, New York, NY 10036, United States of America"
Artshack Gallery,New York,11216,1127,Bedford Avenue,New York,Artshack Gallery,"1127 Bedford Avenue, New York, NY 11216, United States of America"
Artshack Brooklyn,New York,11216,1131,Bedford Avenue,New York,Artshack Brooklyn,"1131 Bedford Avenue, New York, NY 11216, United States of America"
Lucky Strike Social,New York,10036,624-660,West 42nd Street,New York,Lucky Strike Social,"624-660 West 42nd Street, New York, NY 10036, United States of America"
Lunt-Fontanne Theatre,New York,10036,205,West 46th Street,New York,Lunt-Fontanne Theatre,"205 West 46th Street, New York, NY 10036, United States of America"
Palace Theater,New York,10019,1564,Broadway,New York,Palace Theater,"1564 Broadway, New York, NY 10019, United States of America"
Old Hickory Playground,New York,11109,N/A,51st Avenue,New York,Old Hickory Playground,"51st Avenue, New York, NY 11109, United States of America"
Lena Horne Theatre,New York,10036,256,West 47th Street,New York,Lena Horne Theatre,"256 West 47th Street, New York, NY 10036, United States of America"
Firefighters' Memorial Park,Union City,07087,N/A,Palisade Avenue,New Jersey,Firefighters' Memorial Park,"Palisade Avenue, Union City, NJ 07087, United States of America"
John Hancock Playground,New York,11216,90,Jefferson Avenue,New York,John Hancock Playground,"90 Jefferson Avenue, New York, NY 11216, United States of America"
Andrews Grove,New York,11101,N/A,49th Avenue,New York,Andrews Grove,"49th Avenue, New York, NY 11101, United States of America"
James Earl Jones Theatre,New York,10036,138,West 48th Street,New York,James Earl Jones Theatre,"138 West 48th Street, New York, NY 10036, United States of America"
Barrymore Theatre,New York,10036,243,West 47th Street,New York,Barrymore Theatre,"243 West 47th Street, New York, NY 10036, United States of America"
LOL Times Square Comedy Club,New York,10036,711,7th Avenue,New York,LOL Times Square Comedy Club,"711 7th Avenue, New York, NY 10036, United States of America"
Samuel J. Friedman Theatre,New York,10036,261,West 47th Street,New York,Samuel J. Friedman Theatre,"261 West 47th Street, New York, NY 10036, United States of America"
