tranportation,city,postcode,housenumber,street,state,address1,address2
Residence Inn New York Manhattan / Central Park,New York,10019,N/A,West 54th Street,New York,Residence Inn New York Manhattan / Central Park,"West 54th Street, New York, NY 10019, United States of America"
Dream Midtown,New York,10019,210,West 55th Street,New York,Dream Midtown,"210 West 55th Street, New York, NY 10019, United States of America"
Broadway Hotel,New York,11206,1090,Myrtle Avenue,New York,Broadway Hotel,"1090 Myrtle Avenue, New York, NY 11206, United States of America"
AKA Sutton Place,New York,10022,330,East 56th Street,New York,AKA Sutton Place,"330 East 56th Street, New York, NY 10022, United States of America"
Park Central Hotel,New York,10019,860,7th Avenue,New York,Park Central Hotel,"860 7th Avenue, New York, NY 10019, United States of America"
Lombardy Hotel,New York,10022,111,East 56th Street,New York,Lombardy Hotel,"111 East 56th Street, New York, NY 10022, United States of America"
GLo Best Western Brooklyn,New York,11232,850,4th Avenue,New York,GLo Best Western Brooklyn,"850 4th Avenue, New York, NY 11232, United States of America"
Wyndham Garden,New York,11101,44-29,9th Street,New York,Wyndham Garden,"44-29 9th Street, New York, NY 11101, United States of America"
Hotel 57,New York,10022,130,East 57th Street,New York,Hotel 57,"130 East 57th Street, New York, NY 10022, United States of America"
Chambers Hotel,New York,10019,15,West 56th Street,New York,Chambers Hotel,"15 West 56th Street, New York, NY 10019, United States of America"
Fitzpatrick,New York,10022,687,Lexington Avenue,New York,Fitzpatrick,"687 Lexington Avenue, New York, NY 10022, United States of America"
Thompson Central Park New York,New York,10019,119,West 56th Street,New York,Thompson Central Park New York,"119 West 56th Street, New York, NY 10019, United States of America"
L Hotel,New York,11232,135,32nd Street,New York,L Hotel,"135 32nd Street, New York, NY 11232, United States of America"
Da Vinci Hotel,New York,10019,244,West 56th Street,New York,Da Vinci Hotel,"244 West 56th Street, New York, NY 10019, United States of America"
Best Western,New York,11216,1324,Atlantic Avenue,New York,Best Western,"1324 Atlantic Avenue, New York, NY 11216, United States of America"
New York Loft Hostel,New York,11206,249,Varet Street,New York,New York Loft Hostel,"249 Varet Street, New York, NY 11206, United States of America"
Jazz on Columbus Circle Hostel,New York,10019,940,8th Avenue,New York,Jazz on Columbus Circle Hostel,"940 8th Avenue, New York, NY 10019, United States of America"
West 57th Street,New York,10019,102,West 57th Street,New York,West 57th Street,"102 West 57th Street, New York, NY 10019, United States of America"
"Le Meridien New York, Central Park",New York,10019,120,West 57th Street,New York,"Le Meridien New York, Central Park","120 West 57th Street, New York, NY 10019, United States of America"
Four Seasons Hotel,New York,10022,57,East 57th Street,New York,Four Seasons Hotel,"57 East 57th Street, New York, NY 10022, United States of America"
Stonehenge 57,New York,10022,400,East 57th Street,New York,Stonehenge 57,"400 East 57th Street, New York, NY 10022, United States of America"
Hotel BPM,New York,11232,137,33rd Street,New York,Hotel BPM,"137 33rd Street, New York, NY 11232, United States of America"
The Quin,New York,10019,101,West 57th Street,New York,The Quin,"101 West 57th Street, New York, NY 10019, United States of America"
AKA Central Park,New York,10019,42,West 58th Street,New York,AKA Central Park,"42 West 58th Street, New York, NY 10019, United States of America"
"Hotel Bogart Street, Brooklyn",New York,11206,N/A,Bogart Street,New York,"Hotel Bogart Street, Brooklyn","Bogart Street, New York, NY 11206, United States of America"
Park Hyatt New York,New York,10019,153,West 57th Street,New York,Park Hyatt New York,"153 West 57th Street, New York, NY 10019, United States of America"
1 Hotel Central Park,New York,10019,1414,6th Avenue,New York,1 Hotel Central Park,"1414 6th Avenue, New York, NY 10019, United States of America"
Days Inn,Jersey City,07307,750,Tonnelle Avenue,New Jersey,Days Inn,"750 Tonnelle Avenue, Jersey City, NJ 07307, United States of America"
The Plaza,New York,10019,768,5th Avenue,New York,The Plaza,"768 5th Avenue, New York, NY 10019, United States of America"
Park Lane Hotel,New York,10019,36,Central Park South,New York,Park Lane Hotel,"36 Central Park South, New York, NY 10019, United States of America"
