tranportation,city,postcode,street,state,address2,longitude,latitude
Madison Street & Montgomery Street,New York,10002,Madison Street,New York,"Madison Street, New York, NY 10002, United States of America",-73.984633,40.7130373
Hudson Street & West Houston Street,New York,10014,Hudson Street,New York,"Hudson Street, New York, NY 10014, United States of America",-74.0069306,40.729123
Old Fulton Street & Prospect Street,New York,11201,Old Fulton Street,New York,"Old Fulton Street, New York, NY 11201, United States of America",-73.9910123,40.7010038
Grand Street & Samuel Dickstein Plaza,New York,10002,Grand Street,New York,"Grand Street, New York, NY 10002, United States of America",-73.9845608,40.7151965
Madison Street & Gouverneur Street,New York,10002,Madison Street,New York,"Madison Street, New York, NY 10002, United States of America",-73.9842764,40.7132379
,New York,10002,East Houston Street,New York,"New York, NY 10002, United States of America",-73.9891233,40.7232242
Bowery & East 2nd Street,New York,10012,Bowery,New York,"Bowery, New York, NY 10012, United States of America",-73.9919427,40.7254898
Bowery & Bond Street,New York,10012,Bowery,New York,"Bowery, New York, NY 10012, United States of America",-73.9921616,40.7258588
Broadway & West 3rd Street,New York,10003,Broadway,New York,"Broadway, New York, NY 10003, United States of America",-73.9951542,40.727459
Avenue A & East Houston Street,New York,10002,Essex Street,New York,"Essex Street, New York, NY 10002, United States of America",-73.9867426,40.7216159
Madison Street & Gouverneur Street,New York,10002,Madison Street,New York,"Madison Street, New York, NY 10002, United States of America",-73.9834922,40.7131863
