tranportation,city,postcode,housenumber,street,state,address1,address2
Bowery & Grand Street,New York,10012,N/A,Bowery,New York,Bowery & Grand Street,"Bowery, New York, NY 10012, United States of America"
Water St & Broad St,New York,10004,N/A,Water Street,New York,Water St & Broad St,"Water Street, New York, NY 10004, United States of America"
Madison Street & Pike Street,New York,10002,N/A,Madison Street,New York,Madison Street & Pike Street,"Madison Street, New York, NY 10002, United States of America"
Varick Street & Watts Street,New York,10005,N/A,Varick Street,New York,Varick Street & Watts Street,"Varick Street, New York, NY 10005, United States of America"
Madison Street & Pike Street,New York,10002,N/A,Madison Street,New York,Madison Street & Pike Street,"Madison Street, New York, NY 10002, United States of America"
Grand Street,New York,10002,N/A,Grand Street,New York,Grand Street,"New York, NY 10002, United States of America"
East Broadway & Pike Street,New York,10002,N/A,East Broadway,New York,East Broadway & Pike Street,"East Broadway, New York, NY 10002, United States of America"
Battery Place & Washington Street,New York,10280,N/A,Battery Place,New York,Battery Place & Washington Street,"Battery Place, New York, NY 10280, United States of America"
FlixBus NYC 28 Allen St.,New York,10002,N/A,Allen Street,New York,FlixBus NYC 28 Allen St.,"Allen Street, New York, NY 10002, United States of America"
Whitehall Street–South Ferry,New York,10004,N/A,Whitehall Street,New York,Whitehall Street–South Ferry,"Whitehall Street, New York, NY 10004, United States of America"
Broad Street & Water Street,New York,10004,N/A,Broad Street,New York,Broad Street & Water Street,"Broad Street, New York, NY 10004, United States of America"
Allen Street & Hester Street,New York,10002,N/A,Allen Street,New York,Allen Street & Hester Street,"Allen Street, New York, NY 10002, United States of America"
Broadway & Spring Street,New York,10003,N/A,Broadway,New York,Broadway & Spring Street,"Broadway, New York, NY 10003, United States of America"
State Street & Bridge Street,New York,10004,N/A,State Street,New York,State Street & Bridge Street,"State Street, New York, NY 10004, United States of America"
Bowery & Kenmare Street,New York,10012,N/A,Bowery,New York,Bowery & Kenmare Street,"Bowery, New York, NY 10012, United States of America"
Spring Street,New York,10012,N/A,Lafayette Street,New York,Spring Street,"Lafayette Street, New York, NY 10012, United States of America"
Battery Place & West Street,New York,10280,N/A,Battery Place,New York,Battery Place & West Street,"Battery Place, New York, NY 10280, United States of America"
East Broadway & Rutgers Street,New York,10002,N/A,East Broadway,New York,East Broadway & Rutgers Street,"East Broadway, New York, NY 10002, United States of America"
6th Avenue & Broome Street,New York,10005,N/A,6th Avenue,New York,6th Avenue & Broome Street,"6th Avenue, New York, NY 10005, United States of America"
Battery Place / West Street,New York,10280,N/A,Battery Park City Greenway,New York,Battery Place / West Street,"Battery Park City Greenway, New York, NY 10280, United States of America"
DUMBO/BBP Pier 1,New York,11201,N/A,Brooklyn Bridge Park Greenway,New York,DUMBO/BBP Pier 1,"Brooklyn Bridge Park Greenway, New York, NY 11201, United States of America"
Bowery,New York,10002,N/A,Delancey Street,New York,Bowery,"Delancey Street, New York, NY 10002, United States of America"
Rutgers Street & Canal Street,New York,10002,N/A,Rutgers Street,New York,Rutgers Street & Canal Street,"Rutgers Street, New York, NY 10002, United States of America"
South Street & Whitehall Street,New York,10038,N/A,South Street,New York,South Street & Whitehall Street,"South Street, New York, NY 10038, United States of America"
East Broadway,New York,10002,N/A,Rutgers Street,New York,East Broadway,"Rutgers Street, New York, NY 10002, United States of America"
Allen Street & Grand Street,New York,10002,N/A,Allen Street,New York,Allen Street & Grand Street,"Allen Street, New York, NY 10002, United States of America"
South Ferry/Terminal,New York,10004,N/A,Peter Minuit Plaza,New York,South Ferry/Terminal,"Peter Minuit Plaza, New York, NY 10004, United States of America"
Essex Street & Canal Street,New York,10002,N/A,Essex Street,New York,Essex Street & Canal Street,"Essex Street, New York, NY 10002, United States of America"
South St & Whitehall St,New York,10038,N/A,South Street,New York,South St & Whitehall St,"South Street, New York, NY 10038, United States of America"
South Ferry,New York,10004,N/A,Peter Minuit Plaza,New York,South Ferry,"Peter Minuit Plaza, New York, NY 10004, United States of America"
Allen Street & Grand Street,New York,10002,N/A,Allen Street,New York,Allen Street & Grand Street,"Allen Street, New York, NY 10002, United States of America"
Staten Island Ferry Whitehall Terminal,New York,10004,4,South Street,New York,Staten Island Ferry Whitehall Terminal,"4 South Street, New York, NY 10004, United States of America"
Broadway & Prince Street,New York,10003,N/A,Broadway,New York,Broadway & Prince Street,"Broadway, New York, NY 10003, United States of America"
Battery Maritime Building,New York,10004,N/A,East River Greenway,New York,Battery Maritime Building,"East River Greenway, New York, NY 10004, United States of America"
Statue Cruises,New York,10004,N/A,Battery Park Underpass,New York,Statue Cruises,"Battery Park Underpass, New York, NY 10004, United States of America"
South Ferry/Terminal,New York,10004,N/A,Peter Minuit Plaza,New York,South Ferry/Terminal,"Peter Minuit Plaza, New York, NY 10004, United States of America"
Spring Street,New York,10019,N/A,6th Avenue,New York,Spring Street,"6th Avenue, New York, NY 10019, United States of America"
N/A,New York,10013,N/A,Spring Street,New York,Spring Street,"New York, NY 10013, United States of America"
6th Avenue & Spring Street,New York,10012,N/A,6th Avenue,New York,6th Avenue & Spring Street,"6th Avenue, New York, NY 10012, United States of America"
Madison Street & Jefferson Street,New York,10002,N/A,Madison Street,New York,Madison Street & Jefferson Street,"Madison Street, New York, NY 10002, United States of America"
Battery Park,New York,10004,N/A,Battery Park Underpass,New York,Battery Park Underpass,"New York, NY 10004, United States of America"
Prince Street,New York,10003,N/A,Broadway,New York,Prince Street,"Broadway, New York, NY 10003, United States of America"
Spring Street & Greenwich Street,New York,10013,N/A,Spring Street,New York,Spring Street & Greenwich Street,"Spring Street, New York, NY 10013, United States of America"
Bowery and Prince Street,New York,10012,N/A,Bowery,New York,Bowery and Prince Street,"Bowery, New York, NY 10012, United States of America"
Hudson Street & Spring Street,New York,10014,N/A,Hudson Street,New York,Hudson Street & Spring Street,"Hudson Street, New York, NY 10014, United States of America"
Whitehall,New York,10004,N/A,Battery Park Underpass,New York,Whitehall,"Battery Park Underpass, New York, NY 10004, United States of America"
Madison Street & Jefferson Street,New York,10002,N/A,Madison Street,New York,Madison Street & Jefferson Street,"Madison Street, New York, NY 10002, United States of America"
Essex Street & Grand Street,New York,10002,N/A,Grand Street,New York,Essex Street & Grand Street,"Grand Street, New York, NY 10002, United States of America"
Allen Street & Delancey Street,New York,10002,N/A,Allen Street,New York,Allen Street & Delancey Street,"Allen Street, New York, NY 10002, United States of America"
Grand Street & Essex Street,New York,10002,N/A,Grand Street,New York,Grand Street & Essex Street,"Grand Street, New York, NY 10002, United States of America"
Essex Street & Grand Street,New York,10002,N/A,Essex Street,New York,Essex Street & Grand Street,"Essex Street, New York, NY 10002, United States of America"
Old Fulton Street & Elizabeth Place,New York,11201,N/A,Old Fulton Street,New York,Old Fulton Street & Elizabeth Place,"Old Fulton Street, New York, NY 11201, United States of America"
Broadway & West Houston Street,New York,10003,N/A,Broadway,New York,Broadway & West Houston Street,"Broadway, New York, NY 10003, United States of America"
Varick Street & Charlton Street,New York,10014,N/A,Varick Street,New York,Varick Street & Charlton Street,"Varick Street, New York, NY 10014, United States of America"
Allen Street & Delancey Street,New York,10002,N/A,Allen Street,New York,Allen Street & Delancey Street,"Allen Street, New York, NY 10002, United States of America"
Madison Street & Clinton Street,New York,10002,N/A,Madison Street,New York,Madison Street & Clinton Street,"Madison Street, New York, NY 10002, United States of America"
East Houston Street & Greene Street,New York,10014,N/A,West Houston Street,New York,East Houston Street & Greene Street,"West Houston Street, New York, NY 10014, United States of America"
East Houston Street & Broadway,New York,10012,N/A,East Houston Street,New York,East Houston Street & Broadway,"East Houston Street, New York, NY 10012, United States of America"
Delancey Street & Ludlow Street,New York,10002,N/A,Delancey Street,New York,Delancey Street & Ludlow Street,"Delancey Street, New York, NY 10002, United States of America"
Delancey Street & Essex Street,New York,10002,N/A,Delancey Street,New York,Delancey Street & Essex Street,"Delancey Street, New York, NY 10002, United States of America"
6th Avenue & Prince Street,New York,10019,N/A,6th Avenue,New York,6th Avenue & Prince Street,"6th Avenue, New York, NY 10019, United States of America"
Broadway–Lafayette Street,New York,10002,N/A,East Houston Street,New York,Broadway–Lafayette Street,"East Houston Street, New York, NY 10002, United States of America"
West Houston Street & Mercer Street,New York,10014,N/A,West Houston Street,New York,West Houston Street & Mercer Street,"West Houston Street, New York, NY 10014, United States of America"
East Houston Street & Mulberry Street,New York,10012,N/A,Mulberry Street,New York,East Houston Street & Mulberry Street,"Mulberry Street, New York, NY 10012, United States of America"
N/A,New York,10012,N/A,MacDougal Street,New York,MacDougal Street,"New York, NY 10012, United States of America"
Delancey Street,New York,10002,N/A,Delancey Street,New York,Delancey Street,"New York, NY 10002, United States of America"
